Instrument,Total Assets,Date
5081414396,2631296.70432157,2020-12-31T00:00:00Z
5081414745,2549110.39855534,2018-12-31T00:00:00Z
5081414745,3058416.11227559,2019-12-31T00:00:00Z
5081414745,2776320.54465545,2020-12-31T00:00:00Z
5081414822,1368100.40209577,2017-12-31T00:00:00Z
5081414822,2456503.87211039,2018-12-31T00:00:00Z
5081414822,3738722.31841793,2019-12-31T00:00:00Z
5081414847,1192077.51166263,2018-12-31T00:00:00Z
5081414847,693064.795406908,2019-12-31T00:00:00Z
5081414847,236654.659065739,2020-12-31T00:00:00Z
5081414874,587425.368587791,2017-12-31T00:00:00Z
5081414874,1946241.91139871,2018-12-31T00:00:00Z
5081414874,1873006.47042741,2019-12-31T00:00:00Z
5081414901,1831757.09308113,2018-12-31T00:00:00Z
5081414901,2557071.90376378,2019-12-31T00:00:00Z
5081414901,5808064.9109922,2020-12-31T00:00:00Z
5081414907,2720316.71432044,2018-12-31T00:00:00Z
5081414907,3302538.04793584,2019-12-31T00:00:00Z
5081414907,3246132.50329335,2020-12-31T00:00:00Z
