Instrument,Sales per Employee,Date
5083429560,252343.921909862,2010-12-31T00:00:00Z
5083429560,220225.644506621,2011-12-31T00:00:00Z
5083429560,205233.248364348,2012-12-31T00:00:00Z
5083429560,224425.071023187,2013-12-31T00:00:00Z
5083429560,229154.633205234,2014-12-31T00:00:00Z
5083429560,219960.40264022,2015-12-31T00:00:00Z
5083429560,184606.709928188,2016-12-31T00:00:00Z
5083429560,214887.923339897,2017-12-31T00:00:00Z
5083429560,,2018-12-31T00:00:00Z
5083429560,,2019-12-31T00:00:00Z
5083429560,,2020-12-31T00:00:00Z
5083429983,,
5083430332,,
5083430438,,
5083445634,,
5083455018,,
5083466956,,
5083466959,,
5083468185,,
5083474810,,
5083475371,,
5083478450,,
5083478463,,
5083501138,,
5083502310,,
5083505245,,
5083518424,,
5083522040,,
5083522153,,
5083564210,,
5083564447,,
5083564529,,
5083564906,,2012-12-31T00:00:00Z
5083564906,,2013-12-31T00:00:00Z
5083564906,136000.413951329,2014-12-31T00:00:00Z
