Instrument,Organization Ultimate Parent,Ultimate Parent Id,Country ISO2 Code of Ultimate Parent Headquarters
5062235900,Jinmailang Food Co Ltd,5066617641.0,CN
5062235917,Songyuan Feiyu Shiji Commercial City Co Ltd,5062235917.0,CN
5062235977,Yunnan Aromatic Tobacco Co Ltd,5062235977.0,CN
5062235978,Yunnan Tengyao Pharmaceutical Co Ltd,5062235978.0,CN
5062235988,Bright Food Group Co Ltd,5084580975.0,CN
5062236003,Guizhou Renhuai Maotai Town Dongfang Wine Industry Co Ltd,5062236003.0,CN
5062236043,Zhongyang Grain Reserves Hengyang Depot Co Ltd,5062236043.0,CN
5062236080,China Lvbao Group Co Ltd,5074547624.0,CN
5062236081,Fujian Mantangxiang Tea Industry Co Ltd,5062236081.0,CN
5062236092,Nanning Chennong Investment Co Ltd,5086817771.0,CN
5062236093,Chizhou Urban and Rural Construction & Installation Engineering Co Ltd,5062236093.0,CN
5062236096,Guangxi Nanning Junwei Feedstuff Co Ltd,5062236096.0,CN
5062236106,Want Want Holdings Ltd,4295887587.0,SG
5062236116,Hainan Kelihua Industry CoLTD,5063357158.0,CN
5062236158,Acumen Houseware Industry Nanning Co Ltd,5062236158.0,CN
5062236210,Henan Caoshi Baichuan Oil and Foodstuffs CoLTD,5081671636.0,CN
5062236221,Hainan Grain and Oil Industry Co Ltd,5062236222.0,CN
5062236225,Jinan Jiajiale Monosodium Glutamate Co Ltd,5062236225.0,CN
5062236337,Shandong Lanling County Zhonglian Industry CoLTD,5062236337.0,CN
5062236363,Anqiu Tianrun Foodstuff CoLTD,5062236363.0,CN
5062236404,"HAIYAN COUNTY URBAN INVESTMENT GROUP CO., LTD.",5081677943.0,CN
5062236434,Fujian Muxiyuan Nutrition Food Co Ltd,5062236434.0,CN
5062236474,Shandong Kelong Farming Industry Co Ltd,5062236474.0,CN
5062236532,Tianhao Art Products Shenzhen Co Ltd,5062236532.0,CN
5062236682,Shandong Fuyuan Winery CoLTD,5062236682.0,CN
5062236700,Hainan Yeye Industry China Co Ltd,5039615706.0,CN
5062236762,Jiangxi Wangs Bee Garden Co Ltd,5062236762.0,CN
5062236772,Jiangsu Taihua Medicine Co Ltd,5062236772.0,CN
5062236810,Suzhou Koushuiwa Foodstuff Co Ltd,5062236810.0,CN
5062236830,Tianjin Daqiaodao Cake Foodstuff Co Ltd,5079919443.0,CN
5062236843,Nantong Yinyan Foodstuff Co Ltd,5062246395.0,CN
5062236846,Hubei Jiashui Technology Co Ltd,5062236846.0,CN
5062236855,Sichuan Meijing Industry Co Ltd,5062236855.0,CN
5062236869,Qingdao Jinhong Food Co Ltd,5062236869.0,CN
5062236880,Sichuan Sida Commerce and Trade Co Ltd,5083127328.0,CN
5062236883,Rongcheng Dongxing Aquatic Products Co Ltd,5062236883.0,CN
5062236990,New Hope Liuhe Co Ltd,4295865441.0,CN
5062236994,"JIANGYOU XIAOXIBA CEREAL & OIL DEPOSITARY STATION CO., LTD.",5062236994.0,CN
5062237003,Shenzhen Tianxing Investment Development Co Ltd,5076390541.0,CN
5062237046,CRH (Gas) Ltd,5001208633.0,VG
5062237056,Guangdong Livestock Development General Co,5062294423.0,CN
5062237070,Guangdong Baidesi Commerce Investment Co Ltd,5083544646.0,CN
5062237095,Hebei Xianglong Industrial CoLTD,5062237095.0,CN
5062237109,Hui County Yinlong Special Powder Foodstuff Co Ltd,5062237109.0,CN
5062237220,Linyi Tianrun Women Products Co Ltd,5062237220.0,CN
5062237233,Shandong Mengshan Longwu Tee Industry CoLTD,5062237233.0,CN
5062237252,Jilin Jinye Tobacco Co Ltd,5062237252.0,CN
5062237256,Lantian County Grain Purchase and Sales Co,5062237256.0,CN
5062237261,Shanxi Jinhua Pharmaceutical Chemical Huabo Co Ltd,5062237261.0,CN
5062237284,Rongcheng Xinfang Aquatic Products CoLTD,5062237284.0,CN
5062237285,Yantai Xinhai Aquatic Products Group Co Ltd,5071488196.0,CN
5062237304,Shaoxing County Dadi Gardening Co Ltd,5062237304.0,CN
5062237353,Beijing State-owned Capital Operation and Management Co Ltd,5000727699.0,CN
5062237413,Jiaxing Hongtaiyang Feed Co Ltd,5062237413.0,CN
5062237415,Fujian Putian Medicine Co Ltd,5062237415.0,CN
5062237421,Hangzhou Zhijiang Garden Virescence Art Co Ltd,5062237421.0,CN
5062237434,Zhejiang East View Industry & Commerce Group Co Ltd,5066564775.0,CN
5062237437,Shanghai Welfare Group Co Ltd,5062206654.0,CN
5062237488,Dalian Shide Aquatic Products Co Ltd,5076391689.0,CN
5062237492,Hangzhou Zhiyun Huiyi Technology Co Ltd,5082227480.0,CN
5062237574,Zhejiang Xintian Construction Decoration Co Ltd,5062237574.0,CN
